web-scraper-order,web-scraper-start-url,rest-link,rest-link-href,shopname,cuisine,item_name,item_desc,product_img,item_price,shop_rating,shop_address,shop_period
"1622642182-6922","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery1.6/5 (3)$$$IndianWrapsBeveragesRice DishesMonthly DealsS$ 6 Delivery feeDiscount 15%Featured60min","https://www.foodpanda.sg/restaurant/eq68/brits-indian-kebab-and-grill-corner-restaurant-delivery","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery","","","","","S$ 10.12S$ 11.90","1.6/5","null","null"
"1622642137-3249","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","M. Ismail Mee Goreng Specialist Shenton Way4.4/5 (350)$$$IndianNoodlesChickenHawker FavouritesS$ 2.19 Delivery fee25min","https://www.foodpanda.sg/restaurant/x4fl/m-ismail-mee-goreng-specialist-shenton-way","M. Ismail Mee Goreng Specialist Shenton Way","","Combo Kings","","","","4.4/5","null","null"
"1622642096-1467","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Badaling Coffeeshop (449 Clementi)4/5 (3)$$$BeveragesS$ 2.69 Delivery fee30min","https://www.foodpanda.sg/restaurant/o9tl/badaling-coffeeshop-449-clementi-","Badaling Coffeeshop (449 Clementi)","","Iced Milo","","","","4/5","null","null"
"1622642128-2951","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Igloo CoffeeShop4.6/5 (13)$$$Asian pandapro perksFree deliveryFree Delivery!30min","https://www.foodpanda.sg/restaurant/y0zm/igloo-coffeeshop","Igloo CoffeeShop","","","","","S$ 2.50","4.6/5","null","null"
"1622642070-534","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Formosa Delights4.6/5 (1k+)$$$ChineseS$ 5.99 Delivery fee40min","https://www.foodpanda.sg/restaurant/s3fc/formosa-delights","Formosa Delights","","","","","S$ 14.87","4.6/5","null","null"
"1622642170-6075","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Tandoori Bites4.3/5 (47)$$$IndianS$ 1.49 Delivery fee30min","https://www.foodpanda.sg/restaurant/o0fp/tandoori-bites","Tandoori Bites","","Ras Malai","","","","4.3/5","null","null"
"1622642102-1733","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Gloria Jean's Coffees (West Coast Plaza)4.7/5 (393)$$$DessertHalalBeveragesBreakfastFree deliveryFree Delivery!30min","https://www.foodpanda.sg/restaurant/w6uj/gloria-jeans-coffees-west-coast-plaza","Gloria Jean's Coffees (West Coast Plaza)","","","","","S$ 3.80","4.7/5","null","null"
"1622642134-3141","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","LiHO TEA (West Coast Plaza)4.7/5 (612)$$$BeveragesTea TimeBubble TeaEveryday FavouritesPickup FavouritesS$ 3.49 Delivery fee25min","https://www.foodpanda.sg/restaurant/x3ru/liho-tea-west-coast-plaza","LiHO TEA (West Coast Plaza)","","Red Bull Mango Booster","","","","4.7/5","null","null"
"1622642192-7906","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Light of India - Restaurant Delivery4.4/5 (7)$$$IndianMeatSoupsNoodlesRice DishesS$ 6 Delivery feeDiscount 15%Featured30min","https://www.foodpanda.sg/restaurant/vyrr/light-of-india-restaurant-delivery","Light of India - Restaurant Delivery","","","Creamy cottage cheese","","","4.4/5","null","null"
"1622642149-4549","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Tenderfresh Classic (Ayer Rajah CC)4.5/5 (3k+)$$$WesternSingaporeanHalalChickenLunchDinner pandapro perksFree deliveryPRO - Free Delivery30min","https://www.foodpanda.sg/restaurant/s0uk/tenderfresh-classic-ayer-rajah-cc","Tenderfresh Classic (Ayer Rajah CC)","","","","","from  S$ 12.90","4.5/5","null","null"
